survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,fare_log,embarked_Q,embarked_S
0,3,1,18.0,2,0,18.0,Third,woman,False,Unknown,Southampton,no,False,2.9444389791664403,False,True
1,3,1,14.0,1,0,11.2417,Third,child,False,Unknown,Cherbourg,yes,False,2.5048481563289,False,False
0,3,1,40.0,1,0,9.475,Third,woman,False,Unknown,Southampton,no,False,2.348991465808201,False,True
0,2,1,27.0,1,0,21.0,Second,woman,False,Unknown,Southampton,no,False,3.091042453358316,False,True
0,3,0,28.0,0,0,7.8958,Third,man,True,Unknown,Cherbourg,no,True,2.1855792552411137,False,False
1,2,1,3.0,1,2,41.5792,Second,child,False,Unknown,Cherbourg,yes,False,3.7513658711253766,False,False
1,3,1,19.0,0,0,7.8792,Third,woman,False,Unknown,Queenstown,yes,True,2.1837114628556327,True,False
0,3,0,28.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,28.0,1,0,15.5,Third,man,True,Unknown,Queenstown,no,False,2.803360380906535,True,False
0,3,0,28.0,2,0,21.6792,Third,man,True,Unknown,Cherbourg,no,False,3.1214482048688246,False,False
0,3,1,18.0,1,0,17.8,Third,woman,False,Unknown,Southampton,no,False,2.9338568698359038,False,True
0,3,0,7.0,4,1,39.6875,Third,child,False,Unknown,Southampton,no,False,3.705920919968788,False,True
0,3,0,21.0,0,0,7.8,Third,man,True,Unknown,Southampton,no,True,2.174751721484161,False,True
1,1,1,49.0,1,0,76.7292,First,woman,False,D,Cherbourg,yes,False,4.353230991152628,False,False
1,2,1,29.0,1,0,26.0,Second,woman,False,Unknown,Southampton,yes,False,3.295836866004329,False,True
0,1,0,65.0,0,1,61.9792,First,man,True,B,Cherbourg,no,False,4.142804513146981,False,False
1,1,0,28.0,0,0,35.5,First,man,True,C,Southampton,yes,True,3.597312260588446,False,True
1,2,1,21.0,0,0,10.5,Second,woman,False,Unknown,Southampton,yes,True,2.4423470353692043,False,True
0,3,0,28.5,0,0,7.2292,Third,man,True,Unknown,Cherbourg,no,True,2.1076888046179385,False,False
1,2,1,5.0,1,2,27.75,Second,child,False,Unknown,Southampton,yes,False,3.3586377672433594,False,True
0,3,0,11.0,5,2,46.9,Third,child,False,Unknown,Southampton,no,False,3.8691155044168695,False,True
0,3,0,22.0,0,0,7.2292,Third,man,True,Unknown,Cherbourg,no,True,2.1076888046179385,False,False
1,1,1,38.0,0,0,80.0,First,woman,False,B,Southampton,yes,True,4.394449154672439,False,True
0,1,0,45.0,1,0,83.475,First,man,True,C,Southampton,no,False,4.436455632600354,False,True
0,3,0,4.0,3,2,27.9,Third,child,False,Unknown,Southampton,no,False,3.3638415951183864,False,True
0,1,0,28.0,0,0,27.7208,First,man,True,Unknown,Cherbourg,no,True,3.357621598945279,False,False
1,3,0,28.0,1,1,15.2458,Third,man,True,Unknown,Cherbourg,yes,False,2.7878344138303452,False,False
1,2,1,29.0,0,0,10.5,Second,woman,False,F,Southampton,yes,True,2.4423470353692043,False,True
0,3,0,19.0,0,0,8.1583,Third,man,True,Unknown,Southampton,no,True,2.2146605719425225,False,True
1,3,1,17.0,4,2,7.925,Third,woman,False,Unknown,Southampton,yes,False,2.188856327665703,False,True
0,3,0,26.0,2,0,8.6625,Third,man,True,Unknown,Southampton,no,False,2.2682524139135403,False,True
0,2,0,32.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,3,1,16.0,5,2,46.9,Third,woman,False,Unknown,Southampton,no,False,3.8691155044168695,False,True
0,2,0,21.0,0,0,73.5,Second,man,True,Unknown,Southampton,no,True,4.310799125385514,False,True
0,3,0,26.0,1,0,14.4542,Third,man,True,Unknown,Cherbourg,no,False,2.737880811060884,False,False
1,3,0,32.0,0,0,56.4958,Third,man,True,Unknown,Southampton,yes,True,4.05171190165724,False,True
0,3,0,25.0,0,0,7.65,Third,man,True,F,Southampton,no,True,2.157559320943788,False,True
1,2,0,0.83,0,2,29.0,Second,child,False,Unknown,Southampton,yes,False,3.4011973816621555,False,True
1,3,1,30.0,0,0,12.475,Third,woman,False,Unknown,Southampton,yes,True,2.600836116795061,False,True
0,3,0,22.0,0,0,9.0,Third,man,True,Unknown,Southampton,no,True,2.302585092994046,False,True
1,3,0,29.0,0,0,9.5,Third,man,True,Unknown,Southampton,yes,True,2.3513752571634776,False,True
1,3,1,28.0,0,0,7.7875,Third,woman,False,Unknown,Queenstown,yes,True,2.1733302571367834,True,False
0,1,0,28.0,0,0,47.1,First,man,True,Unknown,Southampton,no,True,3.8732821771117156,False,True
1,2,1,17.0,0,0,10.5,Second,woman,False,Unknown,Southampton,yes,True,2.4423470353692043,False,True
1,3,1,33.0,3,0,15.85,Third,woman,False,Unknown,Southampton,yes,False,2.8243506567983707,False,True
0,3,0,16.0,1,3,34.375,Third,man,True,Unknown,Southampton,no,False,3.5660053559634015,False,True
1,1,1,23.0,3,2,263.0,First,woman,False,C,Southampton,yes,False,5.575949103146316,False,True
0,3,0,24.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,29.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,20.0,0,0,7.8542,Third,man,True,Unknown,Southampton,no,True,2.180891922715322,False,True
0,1,0,46.0,1,0,61.175,First,man,True,E,Southampton,no,False,4.1299529896894684,False,True
0,3,0,26.0,1,2,20.575,Third,man,True,Unknown,Southampton,no,False,3.0715352369694915,False,True
0,3,0,59.0,0,0,7.25,Third,man,True,Unknown,Southampton,no,True,2.1102132003465894,False,True
0,1,0,71.0,0,0,34.6542,First,man,True,A,Cherbourg,no,True,3.57386695198272,False,False
1,1,0,23.0,0,1,63.3583,First,man,True,D,Cherbourg,yes,False,4.164465907853638,False,False
1,2,1,34.0,0,1,23.0,Second,woman,False,Unknown,Southampton,yes,False,3.1780538303479458,False,True
0,2,0,34.0,1,0,26.0,Second,man,True,Unknown,Southampton,no,False,3.295836866004329,False,True
0,3,1,28.0,0,0,7.8958,Third,woman,False,Unknown,Southampton,no,True,2.1855792552411137,False,True
0,1,0,21.0,0,1,77.2875,First,man,True,D,Southampton,no,False,4.360387947851531,False,True
0,3,0,33.0,0,0,8.6542,Third,man,True,Unknown,Southampton,no,True,2.267393053825037,False,True
0,3,0,37.0,2,0,7.925,Third,man,True,Unknown,Southampton,no,False,2.188856327665703,False,True
1,3,1,21.0,0,0,7.65,Third,woman,False,Unknown,Southampton,yes,True,2.157559320943788,False,True
1,3,0,28.0,0,0,7.775,Third,man,True,Unknown,Southampton,yes,True,2.1719067693519296,False,True
0,3,0,38.0,0,0,7.8958,Third,man,True,Unknown,Southampton,no,True,2.1855792552411137,False,True
1,3,1,28.0,1,0,24.15,Third,woman,False,Unknown,Queenstown,yes,False,3.224857896545748,True,False
0,1,0,47.0,0,0,52.0,First,man,True,C,Southampton,no,True,3.970291913552122,False,True
0,3,1,14.5,1,0,14.4542,Third,child,False,Unknown,Cherbourg,no,False,2.737880811060884,False,False
0,3,0,22.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,1,20.0,1,0,9.825,Third,woman,False,Unknown,Southampton,no,False,2.3818582738885534,False,True
0,3,1,17.0,0,0,14.4583,Third,woman,False,Unknown,Cherbourg,no,True,2.738146075922933,False,False
0,3,0,21.0,0,0,7.925,Third,man,True,Unknown,Southampton,no,True,2.188856327665703,False,True
0,3,0,70.5,0,0,7.75,Third,man,True,Unknown,Queenstown,no,True,2.169053700369523,True,False
0,2,0,29.0,1,0,21.0,Second,man,True,Unknown,Southampton,no,False,3.091042453358316,False,True
0,1,0,24.0,0,1,247.5208,First,man,True,B,Cherbourg,no,False,5.515526544247129,False,False
0,3,1,2.0,4,2,31.275,Third,child,False,Unknown,Southampton,no,False,3.4742929367327062,False,True
0,2,0,21.0,2,0,73.5,Second,man,True,Unknown,Southampton,no,False,4.310799125385514,False,True
0,2,0,32.5,1,0,30.0708,Second,man,True,Unknown,Cherbourg,no,False,3.436268471383741,False,False
1,2,1,32.5,0,0,13.0,Second,woman,False,E,Southampton,yes,True,2.6390573296152584,False,True
0,1,0,54.0,0,1,77.2875,First,man,True,D,Southampton,no,False,4.360387947851531,False,True
1,3,0,12.0,1,0,11.2417,Third,child,False,Unknown,Cherbourg,yes,False,2.5048481563289,False,False
0,3,0,28.0,0,0,7.75,Third,man,True,Unknown,Queenstown,no,True,2.169053700369523,True,False
1,3,0,24.0,0,0,7.1417,Third,man,True,Unknown,Southampton,yes,True,2.0969990034181696,False,True
1,3,1,28.0,1,1,22.3583,Third,woman,False,F,Cherbourg,yes,False,3.1509523813392697,False,False
0,3,0,45.0,0,0,6.975,Third,man,True,Unknown,Southampton,no,True,2.076311648670908,False,True
0,3,0,33.0,0,0,7.8958,Third,man,True,Unknown,Cherbourg,no,True,2.1855792552411137,False,False
0,3,0,20.0,0,0,7.05,Third,man,True,Unknown,Southampton,no,True,2.0856720914304723,False,True
0,3,1,47.0,1,0,14.5,Third,woman,False,Unknown,Southampton,no,False,2.740840023925201,False,True
0,2,0,25.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,2,0,23.0,0,0,15.0458,Second,man,True,Unknown,Cherbourg,no,True,2.775447133088262,False,False
1,1,1,19.0,0,2,26.2833,First,woman,False,D,Southampton,yes,False,3.3062747934011893,False,True
0,1,0,37.0,1,0,53.1,First,man,True,C,Southampton,no,False,3.9908341858524357,False,True
0,3,0,16.0,0,0,9.2167,Third,man,True,Unknown,Southampton,no,True,2.3240236363515288,False,True
0,1,0,24.0,0,0,79.2,First,man,True,B,Cherbourg,no,True,4.384523514872469,False,False
0,3,1,28.0,0,2,15.2458,Third,woman,False,Unknown,Cherbourg,no,False,2.7878344138303452,False,False
1,3,1,22.0,0,0,7.75,Third,woman,False,Unknown,Southampton,yes,True,2.169053700369523,False,True
1,3,1,24.0,1,0,15.85,Third,woman,False,Unknown,Southampton,yes,False,2.8243506567983707,False,True
0,3,0,19.0,0,0,6.75,Third,man,True,Unknown,Queenstown,no,True,2.0476928433652555,True,False
0,2,0,18.0,0,0,11.5,Second,man,True,Unknown,Southampton,no,True,2.5257286443082556,False,True
0,2,0,19.0,1,1,36.75,Second,man,True,Unknown,Southampton,no,False,3.6309854756950335,False,True
1,3,0,27.0,0,0,7.7958,Third,man,True,Unknown,Southampton,yes,True,2.174274334826008,False,True
0,3,1,9.0,2,2,34.375,Third,child,False,Unknown,Southampton,no,False,3.5660053559634015,False,True
0,2,0,36.5,0,2,26.0,Second,man,True,F,Southampton,no,False,3.295836866004329,False,True
0,2,0,42.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,2,0,51.0,0,0,12.525,Second,man,True,Unknown,Southampton,no,True,2.6045398247325453,False,True
1,1,1,22.0,1,0,66.6,First,woman,False,C,Southampton,yes,False,4.213607983048918,False,True
0,3,0,55.5,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,40.5,0,2,14.5,Third,man,True,Unknown,Southampton,no,False,2.740840023925201,False,True
0,3,0,28.0,0,0,7.3125,Third,man,True,Unknown,Southampton,no,True,2.1177604059819726,False,True
0,1,0,51.0,0,1,61.3792,First,man,True,Unknown,Cherbourg,no,False,4.133231886474144,False,False
1,3,1,16.0,0,0,7.7333,Third,woman,False,Unknown,Queenstown,yes,True,2.167143305297764,True,False
0,3,0,30.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
0,3,0,28.0,0,0,8.6625,Third,man,True,Unknown,Southampton,no,True,2.2682524139135403,False,True
0,3,0,28.0,8,2,69.55,Third,man,True,Unknown,Southampton,no,False,4.256321678298823,False,True
0,3,0,44.0,0,1,16.1,Third,man,True,Unknown,Southampton,no,False,2.8390784635086144,False,True
1,2,1,40.0,0,0,15.75,Second,woman,False,Unknown,Southampton,yes,True,2.8183982582710754,False,True
0,3,0,26.0,0,0,7.775,Third,man,True,Unknown,Southampton,no,True,2.1719067693519296,False,True
0,3,0,17.0,0,0,8.6625,Third,man,True,Unknown,Southampton,no,True,2.2682524139135403,False,True
0,3,0,1.0,4,1,39.6875,Third,child,False,Unknown,Southampton,no,False,3.705920919968788,False,True
1,3,0,9.0,0,2,20.525,Third,child,False,Unknown,Southampton,yes,False,3.0692150503137943,False,True
1,1,1,28.0,0,1,55.0,First,woman,False,E,Southampton,yes,False,4.02535169073515,False,True
0,3,1,45.0,1,4,27.9,Third,woman,False,Unknown,Southampton,no,False,3.3638415951183864,False,True
0,1,0,28.0,0,0,25.925,First,man,True,Unknown,Southampton,no,True,3.2930552230424524,False,True
0,3,0,28.0,0,0,56.4958,Third,man,True,Unknown,Southampton,no,True,4.05171190165724,False,True
0,1,0,61.0,0,0,33.5,First,man,True,B,Southampton,no,True,3.5409593240373143,False,True
0,3,0,4.0,4,1,29.125,Third,child,False,Unknown,Queenstown,no,False,3.405355391810819,True,False
1,3,1,1.0,1,1,11.1333,Third,child,False,Unknown,Southampton,yes,False,2.495953738718064,False,True
0,1,0,56.0,0,0,30.6958,First,man,True,A,Cherbourg,no,True,3.4561841799918147,False,False
0,3,0,18.0,1,1,7.8542,Third,man,True,Unknown,Southampton,no,False,2.180891922715322,False,True
0,3,0,28.0,3,1,25.4667,Third,man,True,Unknown,Southampton,no,False,3.275887339030031,False,True
0,1,1,50.0,0,0,28.7125,First,woman,False,C,Cherbourg,no,True,3.391567832686312,False,False
0,2,0,30.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,3,0,36.0,0,0,0.0,Third,man,True,Unknown,Southampton,no,True,0.0,False,True
0,3,1,28.0,8,2,69.55,Third,woman,False,Unknown,Southampton,no,False,4.256321678298823,False,True
0,2,0,28.0,0,0,15.05,Second,man,True,Unknown,Cherbourg,no,True,2.775708849576025,False,False
0,3,0,9.0,4,2,31.3875,Third,child,False,Unknown,Southampton,no,False,3.4777725458882283,False,True
1,2,0,1.0,2,1,39.0,Second,child,False,F,Southampton,yes,False,3.6888794541139363,False,True
1,3,1,4.0,0,2,22.025,Third,child,False,Unknown,Southampton,yes,False,3.1365805821413706,False,True
0,1,0,28.0,0,0,50.0,First,man,True,A,Southampton,no,True,3.9318256327243257,False,True
1,3,1,28.0,1,0,15.5,Third,woman,False,Unknown,Queenstown,yes,False,2.803360380906535,True,False
1,1,0,45.0,0,0,26.55,First,man,True,Unknown,Southampton,yes,True,3.3160025355989236,False,True
0,3,0,40.0,1,1,15.5,Third,man,True,Unknown,Queenstown,no,False,2.803360380906535,True,False
0,3,0,36.0,0,0,7.8958,Third,man,True,Unknown,Southampton,no,True,2.1855792552411137,False,True
1,2,1,32.0,0,0,13.0,Second,woman,False,Unknown,Southampton,yes,True,2.6390573296152584,False,True
0,2,0,19.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
1,3,1,19.0,1,0,7.8542,Third,woman,False,Unknown,Southampton,yes,False,2.180891922715322,False,True
1,2,0,3.0,1,1,26.0,Second,child,False,F,Southampton,yes,False,3.295836866004329,False,True
1,1,1,44.0,0,0,27.7208,First,woman,False,B,Cherbourg,yes,True,3.357621598945279,False,False
1,1,1,58.0,0,0,146.5208,First,woman,False,B,Cherbourg,yes,True,4.993969182787072,False,False
0,3,0,42.0,0,1,8.4042,Third,man,True,Unknown,Southampton,no,False,2.2411563979973974,False,True
0,2,1,24.0,0,0,13.0,Second,woman,False,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,3,0,28.0,0,0,9.5,Third,man,True,Unknown,Southampton,no,True,2.3513752571634776,False,True
0,3,0,34.0,0,0,6.4958,Third,man,True,Unknown,Southampton,no,True,2.0143428636837015,False,True
0,3,0,45.5,0,0,7.225,Third,man,True,Unknown,Cherbourg,no,True,2.1071782966514356,False,False
1,3,0,18.0,0,0,8.05,Third,man,True,Unknown,Southampton,yes,True,2.2027647577118348,False,True
0,3,1,2.0,0,1,10.4625,Third,child,False,G,Southampton,no,False,2.4390808375825834,False,True
0,3,0,32.0,1,0,15.85,Third,man,True,Unknown,Southampton,no,False,2.8243506567983707,False,True
1,3,0,26.0,0,0,18.7875,Third,man,True,Unknown,Cherbourg,yes,True,2.9850504252071306,False,False
1,3,1,16.0,0,0,7.75,Third,woman,False,Unknown,Queenstown,yes,True,2.169053700369523,True,False
1,1,0,40.0,0,0,31.0,First,man,True,A,Cherbourg,yes,True,3.4657359027997265,False,False
0,3,0,24.0,0,0,7.05,Third,man,True,Unknown,Southampton,no,True,2.0856720914304723,False,True
1,2,1,35.0,0,0,21.0,Second,woman,False,Unknown,Southampton,yes,True,3.091042453358316,False,True
0,3,0,22.0,0,0,7.25,Third,man,True,Unknown,Southampton,no,True,2.1102132003465894,False,True
0,3,0,28.0,1,0,7.75,Third,man,True,Unknown,Queenstown,no,False,2.169053700369523,True,False
1,1,1,31.0,1,0,113.275,First,woman,False,D,Cherbourg,yes,False,4.738607824217808,False,False
1,3,1,27.0,0,0,7.925,Third,woman,False,Unknown,Southampton,yes,True,2.188856327665703,False,True
0,2,0,42.0,1,0,27.0,Second,man,True,Unknown,Southampton,no,False,3.332204510175204,False,True
1,1,1,32.0,0,0,76.2917,First,woman,False,D,Cherbourg,yes,True,4.347586575960343,False,False
0,2,0,30.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
1,3,0,16.0,0,0,8.05,Third,man,True,Unknown,Southampton,yes,True,2.2027647577118348,False,True
0,2,0,27.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,3,0,51.0,0,0,8.05,Third,man,True,Unknown,Southampton,no,True,2.2027647577118348,False,True
1,1,0,38.0,1,0,90.0,First,man,True,C,Southampton,yes,False,4.51085950651685,False,True
0,3,0,22.0,0,0,9.35,Third,man,True,Unknown,Southampton,no,True,2.336986519711378,False,True
1,2,0,19.0,0,0,10.5,Second,man,True,Unknown,Southampton,yes,True,2.4423470353692043,False,True
0,3,0,20.5,0,0,7.25,Third,man,True,Unknown,Southampton,no,True,2.1102132003465894,False,True
0,2,0,18.0,0,0,13.0,Second,man,True,Unknown,Southampton,no,True,2.6390573296152584,False,True
0,3,1,28.0,3,1,25.4667,Third,woman,False,Unknown,Southampton,no,False,3.275887339030031,False,True
1,1,1,35.0,1,0,83.475,First,woman,False,C,Southampton,yes,False,4.436455632600354,False,True
0,3,0,29.0,0,0,7.775,Third,man,True,Unknown,Southampton,no,True,2.1719067693519296,False,True
0,2,0,59.0,0,0,13.5,Second,man,True,Unknown,Southampton,no,True,2.6741486494265287,False,True
1,3,1,5.0,4,2,31.3875,Third,child,False,Unknown,Southampton,yes,False,3.4777725458882283,False,True
0,2,0,24.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,3,1,28.0,0,0,7.55,Third,woman,False,Unknown,Southampton,no,True,2.145931282948669,False,True
0,2,0,44.0,1,0,26.0,Second,man,True,Unknown,Southampton,no,False,3.295836866004329,False,True
1,2,1,8.0,0,2,26.25,Second,child,False,Unknown,Southampton,yes,False,3.305053521109253,False,True
0,2,0,19.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,2,0,33.0,0,0,12.275,Second,man,True,Unknown,Southampton,no,True,2.5858825671280026,False,True
0,3,1,28.0,1,0,14.4542,Third,woman,False,Unknown,Cherbourg,no,False,2.737880811060884,False,False
0,2,0,29.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,3,0,22.0,0,0,7.125,Third,man,True,Unknown,Southampton,no,True,2.094945728215801,False,True
0,3,0,30.0,0,0,7.225,Third,man,True,Unknown,Cherbourg,no,True,2.1071782966514356,False,False
0,1,0,44.0,2,0,90.0,First,man,True,C,Queenstown,no,False,4.51085950651685,True,False
0,3,1,25.0,0,0,7.775,Third,woman,False,Unknown,Southampton,no,True,2.1719067693519296,False,True
1,2,1,24.0,0,2,14.5,Second,woman,False,Unknown,Southampton,yes,False,2.740840023925201,False,True
1,1,0,37.0,1,1,52.5542,First,man,True,D,Southampton,yes,False,3.9806942251907276,False,True
0,2,0,54.0,1,0,26.0,Second,man,True,Unknown,Southampton,no,False,3.295836866004329,False,True
0,3,0,28.0,0,0,7.25,Third,man,True,Unknown,Southampton,no,True,2.1102132003465894,False,True
0,3,1,29.0,1,1,10.4625,Third,woman,False,G,Southampton,no,False,2.4390808375825834,False,True
0,1,0,62.0,0,0,26.55,First,man,True,C,Southampton,no,True,3.3160025355989236,False,True
0,3,0,30.0,1,0,16.1,Third,man,True,Unknown,Southampton,no,False,2.8390784635086144,False,True
0,3,1,41.0,0,2,20.2125,Third,woman,False,Unknown,Southampton,no,False,3.0545906305603445,False,True
1,3,1,29.0,0,2,15.2458,Third,woman,False,Unknown,Cherbourg,yes,False,2.7878344138303452,False,False
1,1,1,28.0,0,0,79.2,First,woman,False,Unknown,Cherbourg,yes,True,4.384523514872469,False,False
1,1,1,30.0,0,0,86.5,First,woman,False,B,Southampton,yes,True,4.471638793363569,False,True
1,1,1,35.0,0,0,512.3292,First,woman,False,Unknown,Cherbourg,yes,True,6.240917354759096,False,False
1,2,1,50.0,0,1,26.0,Second,woman,False,Unknown,Southampton,yes,False,3.295836866004329,False,True
1,3,0,3.0,4,2,31.3875,Third,child,False,Unknown,Southampton,yes,False,3.4777725458882283,False,True
0,1,0,52.0,1,1,79.65,First,man,True,E,Southampton,no,False,4.390118804571218,False,True
0,1,0,40.0,0,0,0.0,First,man,True,B,Southampton,no,True,0.0,False,True
0,3,1,28.0,0,0,7.75,Third,woman,False,Unknown,Queenstown,no,True,2.169053700369523,True,False
0,2,0,36.0,0,0,10.5,Second,man,True,Unknown,Southampton,no,True,2.4423470353692043,False,True
0,3,0,16.0,4,1,39.6875,Third,man,True,Unknown,Southampton,no,False,3.705920919968788,False,True
1,3,0,25.0,1,0,7.775,Third,man,True,Unknown,Southampton,yes,False,2.1719067693519296,False,True
1,1,1,58.0,0,1,153.4625,First,woman,False,C,Southampton,yes,False,5.039951348430309,False,True
1,1,1,35.0,0,0,135.6333,First,woman,False,C,Southampton,yes,True,4.91730069488021,False,True
0,1,0,28.0,0,0,31.0,First,man,True,Unknown,Southampton,no,True,3.4657359027997265,False,True
1,3,0,25.0,0,0,0.0,Third,man,True,Unknown,Southampton,yes,True,0.0,False,True
1,2,1,41.0,0,1,19.5,Second,woman,False,Unknown,Southampton,yes,False,3.0204248861443626,False,True
0,1,0,37.0,0,1,29.7,First,man,True,C,Cherbourg,no,False,3.4242626545931514,False,False
1,1,1,63.0,1,0,77.9583,First,woman,False,D,Southampton,yes,False,4.368919865004903,False,True
0,3,1,45.0,0,0,7.75,Third,woman,False,Unknown,Southampton,no,True,2.169053700369523,False,True
0,2,0,28.0,0,0,0.0,Second,man,True,Unknown,Southampton,no,True,0.0,False,True
0,3,0,7.0,4,1,29.125,Third,child,False,Unknown,Queenstown,no,False,3.405355391810819,True,False
1,3,1,35.0,1,1,20.25,Third,woman,False,Unknown,Southampton,yes,False,3.056356895370426,False,True
0,3,0,65.0,0,0,7.75,Third,man,True,Unknown,Queenstown,no,True,2.169053700369523,True,False
0,3,0,28.0,0,0,7.8542,Third,man,True,Unknown,Southampton,no,True,2.180891922715322,False,True
0,3,0,16.0,0,0,9.5,Third,man,True,Unknown,Southampton,no,True,2.3513752571634776,False,True
1,3,0,19.0,0,0,8.05,Third,man,True,Unknown,Southampton,yes,True,2.2027647577118348,False,True
